Nome,CPF,Genero,Telefone,Endereco,Cidade,Estado,Data de Nascimento,Email,Renda,Empresa,Cod do Cliente,Cartões,Vencimento do Cartão
Sacha Sampson,9539728003,M,(197) 678-4671,"1736 Orci, Av.",Osasco,SP,18/11/1933,magna.tellus.faucibus@Duismi.edu,R$032.27,Ac Fermentum Vel Inc.,90,447978 554056 9951,08/2022
Blaze Hicks,83816897576,M,(298) 110-1446,5879 Ut St.,Petrolina,PE,23/12/1928,euismod.et@magnisdisparturient.co.uk,R$250.17,Dui Augue Company,91,4539 562 62 2202,08/2019
Francesca Rhodes,51182495943,M,(698) 388-7072,Ap #485-9609 Et Rd.,Ribeirão Preto,SP,08/07/1931,dui.Cras.pellentesque@quis.net,R$310.59,Dictum Placerat Augue Inc.,92,4556433500946,08/2022
Hammett Maxwell,62984658299,M,(573) 760-1485,"Ap #359-1136 Et, Rd.",Uberaba,MG,23/11/1983,orci.luctus@rutrumeu.edu,R$529.98,Convallis In Cursus LLP,93,4716796206953812,10/2018
Tyler Webb,28629413572,F,(690) 665-1668,2020 Scelerisque Avenue,Colombo,PR,27/12/1975,magna@fringillaDonec.edu,R$287.40,Ut Nec Urna Corporation,94,4716368539448,05/2023
Orli Scott,38256567166,F,(940) 518-6757,377-3395 Aliquam Street,Diadema,SP,22/07/1930,pretium.aliquet@variusorciin.net,R$466.47,Et Ltd,95,4485241623573595,05/2023
Bruno Callahan,77272481574,F,(853) 262-9559,Ap #855-8345 Fringilla Av.,Guarulhos,SP,16/06/1953,ac.metus.vitae@liberoProin.co.uk,R$320.82,Mus Donec Dignissim Foundation,96,4556448075231,05/2019
Jerome Owens,57766611413,F,(464) 537-2906,889 Tellus Rd.,Campinas,SP,05/08/1964,Cras.vehicula@non.net,R$101.17,Id Ante Nunc Ltd,97,4532771783410,08/2021
Abraham Ortiz,59206379776,M,(195) 855-5756,927-3222 Molestie Road,Belo Horizonte,MG,30/07/1965,Donec.luctus@Integer.edu,R$045.42,Elit Curabitur Sed Institute,98,4929103410043642,07/2021
Blake Brooks,68429633265,M,(781) 938-7531,483-4360 Phasellus Road,São João de Meriti,RJ,24/12/1933,non@Phasellus.edu,R$652.44,Consectetuer Inc.,99,4556262782318,08/2022
Raphael Fletcher,12388892033,F,(595) 743-3452,9898 Parturient Road,Osasco,SP,05/10/1960,posuere@orci.ca,R$546.68,Ante Inc.,100,4693996532436,07/2020
