CD_CLI,ID_TEL,TELEFONE,TEL_PREFERENCIAL
66,66,(90) 98846-3726,1
67,67,(96) 97022-5388,1
67,68,(42) 99934-7853,0
68,69,(83) 98886-4966,1
70,70,(41) 97834-3874,1
71,71,(71) 97257-9110,1
72,72,(24) 99628-1773,1
73,73,(15) 99344-5126,1
73,74,(01) 99270-5626,0
75,75,(72) 98592-8029,1
76,76,(96) 99132-2346,1
77,77,(19) 99078-9693,1
78,78,(83) 97423-7872,1
79,79,(66) 98077-0654,1
80,80,(67) 98516-9230,1
81,81,(78) 97478-5952,1
82,82,(90) 98816-8530,1
83,83,(80) 97396-7531,1
84,84,(06) 99739-2674,1
85,85,(04) 97626-9613,1
86,86,(03) 97058-5137,1
87,87,(99) 99033-2533,1
88,88,(07) 99789-4735,1
89,89,(07) 97925-8144,1
90,90,(78) 99333-6701,1
92,92,(91) 99190-4369,1
93,93,(42) 97738-3148,1
93,94,(40) 98251-0916,0
94,95,(01) 99493-7155,1
96,96,(60) 97035-3019,1
97,97,(18) 99715-4817,1
98,98,(05) 97360-6820,1
99,99,(50) 98099-2273,1
101,101,(37) 99842-9715,1
102,102,(63) 99843-2861,1
103,103,(70) 97460-3533,1
106,106,(56) 98222-8837,1
106,107,(86) 98992-4173,0
108,108,(60) 97332-8529,1
109,109,(13) 97683-9715,1
110,110,(36) 98430-9639,1
111,111,(39) 99367-6695,1
111,112,(53) 98388-8290,0
113,113,(73) 97595-1134,1
114,114,(31) 99255-2802,1
115,115,(64) 98604-6131,1
117,117,(97) 98900-8361,1
118,118,(25) 99405-4960,1
119,119,(81) 97991-1888,1
120,120,(80) 99860-5101,1
121,121,(42) 98760-0698,1
122,122,(01) 97823-8179,1
123,123,(36) 97126-8674,1
124,124,(49) 97299-1089,1
124,125,(52) 98586-9000,0
126,126,(51) 99952-4441,1
127,127,(27) 97783-6661,1
127,128,(28) 97499-1807,0
128,129,(51) 99687-6633,1
130,130,(17) 98968-4912,1
131,131,(65) 98855-2943,1
133,133,(34) 97579-4254,1
134,134,(80) 97169-6264,1
135,135,(99) 99671-7678,1
136,136,(09) 98012-2024,1
136,137,(49) 98525-6817,0
138,138,(75) 98369-0544,1
139,139,(53) 98189-8056,1
140,140,(86) 98129-8242,1
141,141,(25) 99187-8035,1
142,142,(27) 99403-9451,1
143,143,(27) 98970-1691,1
144,144,(28) 97366-0604,1
145,145,(58) 97174-9946,1
145,146,(24) 99603-8354,0
147,147,(57) 98568-8080,1
148,148,(82) 98655-9440,1
149,149,(23) 97505-8256,1
150,150,(60) 99619-2241,1
151,151,(66) 98243-0084,1
154,154,(46) 99537-6344,1
154,155,(57) 97072-3210,0
156,156,(65) 99218-4552,1
157,157,(64) 99657-7145,1
158,158,(06) 99007-7008,1
159,159,(35) 99772-8626,1
160,160,(72) 98465-5773,1
161,161,(21) 98581-9303,1
162,162,(94) 98281-2784,1
162,164,(37) 98278-7997,0
165,165,(79) 99969-6016,1
167,167,(18) 99567-6127,1
168,168,(61) 98483-2441,1
170,170,(27) 97972-7228,1
171,171,(24) 99883-3951,1
171,172,(21) 99750-1524,0
173,173,(87) 97922-9085,1
174,174,(94) 98081-2269,1
175,175,(22) 97771-6586,1
176,176,(12) 97419-0505,1
178,178,(86) 98499-7067,1
179,179,(73) 97094-7085,1
180,180,(65) 98099-8236,1
181,181,(66) 99094-8668,1
181,182,(89) 98672-6090,0
183,183,(61) 98348-8832,1
184,184,(84) 98824-9256,1
185,185,(12) 98960-0602,1
186,186,(24) 98079-9175,1
187,187,(03) 99114-5706,1
188,188,(01) 97950-8567,1
189,189,(77) 99624-0557,1
191,191,(60) 97594-2477,1
193,193,(79) 99575-6975,1
195,195,(55) 99337-1397,1
196,196,(32) 98668-2511,1
197,197,(35) 97017-9531,1
198,198,(21) 97681-7311,1
199,199,(07) 99050-7023,1
200,200,(28) 98848-7605,1
201,201,(44) 99550-4261,1
202,202,(92) 98293-6722,1
204,204,(57) 99954-1526,1
204,205,(00) 99405-9267,0
206,206,(65) 99227-5216,1
207,207,(69) 97552-5865,1
207,208,(37) 97183-3100,0
209,209,(80) 98304-2833,1
209,210,(85) 98363-9619,0
211,211,(46) 98074-4525,1
212,212,(64) 98898-7403,1
212,213,(40) 97903-1653,0
215,215,(21) 99601-2244,1
216,216,(74) 98910-0297,1
217,217,(88) 97390-1311,1
218,218,(73) 97126-5715,1
219,219,(37) 99689-0488,1
220,220,(93) 97375-2860,1
221,221,(27) 97334-3093,1
222,222,(93) 99752-9974,1
223,223,(64) 98534-2951,1
224,224,(81) 97648-3617,1
225,225,(69) 97936-1922,1
226,226,(43) 97803-0749,1
227,227,(31) 99336-3703,1
228,228,(43) 99991-5404,1
230,230,(97) 98502-9884,1
231,231,(52) 98907-5630,1
232,232,(16) 98763-7501,1
233,233,(04) 99756-3811,1
234,234,(21) 98997-3134,1
235,235,(68) 97063-1040,1
235,236,(04) 99715-9568,0
236,237,(09) 98027-9471,1
238,238,(37) 98234-6498,1
239,239,(64) 97661-3109,1
240,240,(17) 97978-2595,1
241,241,(92) 97411-4668,1
242,242,(65) 98856-5615,1
243,243,(85) 98227-8132,1
244,244,(57) 98862-7694,1
245,245,(07) 99578-8429,1
246,246,(03) 99973-4459,1
246,247,(00) 98216-1127,0
247,248,(73) 99348-6559,1
249,249,(79) 99260-6846,1
249,250,(67) 98875-0097,0
251,251,(63) 99468-5016,1
252,252,(82) 99867-6651,1
253,253,(66) 99354-9719,1
253,254,(50) 97741-5647,0
255,255,(40) 99643-8137,1
256,256,(19) 99845-5832,1
258,258,(56) 98469-2446,1
259,259,(45) 97905-8614,1
260,260,(92) 99028-7484,1
261,261,(50) 99734-8720,1
262,262,(66) 99886-2553,1
263,263,(75) 97373-3722,1
264,264,(00) 99568-3196,1
265,265,(83) 97435-8691,1
266,266,(08) 98978-7940,1
268,268,(67) 99754-2886,1
268,269,(34) 98763-1770,0
270,270,(88) 97004-3646,1
271,271,(66) 99629-1145,1
272,272,(00) 99398-9353,1
273,273,(00) 98577-0881,1
273,274,(86) 98094-6204,0
275,275,(89) 99515-5080,1
276,276,(33) 97952-7956,1
277,277,(15) 99566-0102,1
277,278,(78) 98518-8639,0
279,279,(06) 98428-3900,1
280,280,(44) 97054-3595,1
281,281,(64) 99496-7632,1
282,282,(55) 98473-6488,1
283,283,(52) 98295-4115,1
284,284,(12) 98305-2879,1
285,285,(26) 99492-1386,1
286,286,(63) 97692-1200,1
288,288,(15) 98129-0703,1
289,289,(10) 98927-0479,1
290,290,(11) 97257-2954,1
291,291,(43) 99643-2573,1
292,292,(97) 99813-3097,1
292,293,(95) 97373-3123,0
294,294,(31) 97766-7722,1
295,295,(05) 99862-2772,1
296,296,(87) 97818-4958,1
297,297,(72) 98017-7459,1
298,298,(27) 97206-8930,1
299,299,(36) 98878-9212,1
300,300,(67) 98341-4098,1
300,301,(50) 97377-3930,0
302,302,(62) 97352-1572,1
302,303,(66) 98987-3347,0
304,304,(77) 99829-7535,1
304,306,(24) 97321-4746,0
306,307,(53) 98662-0857,1
309,309,(71) 98611-3493,1
309,310,(20) 97535-1020,0
311,311,(18) 98365-6624,1
312,312,(11) 97686-1076,1
313,313,(10) 99817-5339,1
314,314,(37) 97178-7377,1
316,316,(50) 98182-5765,1
317,317,(88) 97394-0871,1
318,318,(46) 99249-2571,1
320,320,(70) 98081-4024,1
321,321,(00) 99444-9663,1
322,322,(27) 99613-2938,1
323,323,(08) 98976-6018,1
325,325,(62) 99320-7988,1
326,326,(25) 98162-0378,1
327,327,(19) 98318-8629,1
328,328,(04) 99018-9115,1
329,329,(47) 99229-2527,1
330,330,(92) 99114-2731,1
330,331,(92) 97916-0829,0
332,332,(83) 98119-9028,1
333,333,(94) 99464-4804,1
334,334,(33) 97397-4516,1
335,335,(51) 97746-6685,1
336,336,(10) 98368-8701,1
337,337,(50) 97697-0971,1
338,338,(71) 97868-5762,1
340,340,(12) 97163-5468,1
341,341,(16) 97193-7068,1
342,342,(66) 97641-1578,1
343,343,(89) 99467-5703,1
344,344,(75) 99354-8554,1
347,347,(78) 97712-1424,1
348,348,(70) 98564-8325,1
349,349,(10) 99273-2207,1
350,350,(43) 98780-9312,1
351,351,(03) 99074-8482,1
352,352,(24) 99985-7572,1
353,353,(50) 98780-4644,1
353,354,(23) 99854-9593,0
355,355,(58) 97144-4802,1
356,356,(29) 99512-8134,1
357,357,(76) 99808-7845,1
358,358,(59) 97499-9932,1
359,359,(09) 98437-7875,1
360,360,(22) 98982-3236,1
362,362,(35) 97388-1310,1
363,363,(79) 97429-3289,1
364,364,(94) 99581-1634,1
366,366,(26) 97916-7962,1
367,367,(80) 98176-2101,1
368,368,(70) 97010-1086,1
369,369,(05) 99423-0450,1
370,370,(70) 99263-5311,1
371,371,(18) 98314-9848,1
372,372,(37) 98421-9347,1
373,373,(90) 97209-6096,1
373,374,(27) 98218-7714,0
375,375,(08) 97812-6135,1
376,376,(43) 99566-3741,1
378,378,(38) 98154-3782,1
379,379,(58) 98052-0269,1
380,380,(41) 98118-0580,1
381,381,(78) 99553-0479,1
382,382,(20) 99971-9507,1
383,383,(99) 98012-4304,1
384,384,(60) 98031-1144,1
385,385,(64) 99984-6702,1
386,386,(40) 99538-9062,1
387,387,(73) 98870-9481,1
387,388,(16) 97494-1832,0
388,389,(13) 97286-0706,1
390,390,(94) 99074-9244,1
390,391,(93) 99989-4297,0
392,392,(65) 98496-9461,1
394,394,(08) 99687-9552,1
395,395,(66) 99423-9405,1
395,396,(66) 97539-4680,0
397,397,(80) 99436-8914,1
398,398,(34) 99098-8722,1
399,399,(95) 99969-9622,1
400,400,(30) 98307-2233,1
401,401,(75) 97396-8046,1
402,402,(66) 97655-8375,1
403,403,(19) 97756-5725,1
404,404,(84) 97286-9782,1
405,405,(71) 97311-1860,1
406,406,(26) 98558-3245,1
407,407,(56) 97980-4390,1
408,408,(22) 98350-9982,1
409,409,(75) 98026-9500,1
410,410,(29) 98520-4046,1
411,411,(87) 98661-7369,1
412,412,(97) 97494-4675,1
414,414,(22) 98486-1133,1
416,416,(08) 99815-7692,1
417,417,(75) 99011-7642,1
418,418,(21) 98054-2882,1
419,419,(33) 99575-9988,1
419,420,(96) 97719-0701,0
421,421,(62) 99366-7152,1
422,422,(79) 98482-8657,1
423,423,(54) 97857-4320,1
424,424,(41) 97696-8432,1
425,425,(63) 98586-3015,1
426,426,(74) 98094-8066,1
427,427,(84) 99337-3657,1
429,429,(01) 97726-3615,1
430,430,(95) 99549-6724,1
431,431,(38) 99489-5589,1
432,432,(05) 97024-0514,1
433,433,(34) 97914-6632,1
433,434,(24) 98054-8226,0
435,435,(34) 98363-3769,1
436,436,(00) 98350-2925,1
437,437,(90) 97007-5254,1
438,438,(57) 98433-6708,1
439,439,(93) 97255-1780,1
440,440,(18) 98314-3894,1
441,441,(54) 97728-4666,1
442,442,(82) 98196-2889,1
443,443,(11) 99403-9207,1
444,444,(03) 98227-3868,1
445,445,(58) 98890-2304,1
446,446,(75) 99109-0783,1
447,447,(54) 98194-7762,1
449,449,(41) 98490-2447,1
450,450,(97) 98583-5660,1
451,451,(29) 99592-5458,1
451,452,(00) 97157-3735,0
453,453,(00) 99057-3322,1
454,454,(67) 97240-5629,1
455,455,(17) 99396-2070,1
456,456,(39) 98273-7091,1
457,457,(99) 98282-4952,1
458,458,(86) 99958-1542,1
459,459,(95) 98412-6463,1
460,460,(50) 97443-0545,1
461,461,(06) 97978-3546,1
461,462,(23) 97020-4825,0
463,463,(76) 99669-3008,1
464,464,(02) 97478-4947,1
465,465,(60) 99563-3313,1
466,466,(90) 97461-3319,1
466,467,(13) 98421-7249,0
468,468,(18) 97082-2141,1
469,469,(18) 97830-7044,1
469,470,(71) 98944-9835,0
471,471,(64) 98093-5982,1
472,472,(34) 98813-8117,1
473,473,(89) 99815-0130,1
474,474,(64) 98794-0414,1
475,475,(70) 97306-5172,1
476,476,(56) 97937-6924,1
477,477,(81) 99839-0997,1
478,478,(55) 97419-3536,1
479,479,(07) 97470-0391,1
480,480,(79) 98657-1301,1
481,481,(93) 99300-7723,1
482,482,(36) 99680-4430,1
483,483,(68) 97933-5030,1
484,484,(29) 97158-2198,1
485,485,(46) 97025-0575,1
486,486,(77) 98650-2992,1
487,487,(82) 97536-4390,1
488,488,(74) 97752-9688,1
490,490,(81) 98387-9816,1
491,491,(78) 98166-8737,1
493,493,(86) 97881-8639,1
493,494,(23) 99282-5866,0
495,495,(68) 98105-8129,1
496,496,(55) 97915-5397,1
497,497,(03) 97773-0900,1
498,498,(77) 97526-7168,1
499,499,(89) 98717-3414,1
501,501,(74) 97990-1718,1
502,502,(78) 99846-3212,1
503,503,(94) 98055-0205,1
503,504,(23) 99138-2764,0
505,505,(94) 97096-6699,1
506,506,(92) 98902-2442,1
506,507,(48) 97607-2432,0
508,508,(09) 98223-1038,1
509,509,(30) 98872-9431,1
510,510,(91) 98655-4802,1
511,511,(68) 97539-1528,1
513,513,(49) 97094-0650,1
514,514,(89) 99746-6901,1
516,516,(58) 99742-7588,1
517,517,(07) 98604-5569,1
518,518,(32) 99048-6058,1
520,520,(51) 99101-0638,1
521,521,(75) 97474-5114,1
522,522,(37) 99741-0573,1
523,523,(87) 99211-1198,1
524,524,(74) 99526-6166,1
524,525,(19) 99648-8566,0
526,526,(75) 98490-2591,1
529,529,(59) 99719-9501,1
530,530,(86) 98097-5914,1
530,532,(05) 98518-2442,0
533,533,(68) 99064-3248,1
534,534,(36) 97259-8012,1
535,535,(63) 99515-4028,1
535,536,(62) 98427-5887,0
537,537,(11) 97213-5464,1
538,538,(73) 98520-9040,1
538,539,(82) 98148-3820,0
540,540,(54) 97800-2743,1
541,541,(05) 99975-7094,1
542,542,(24) 99912-2744,1
544,544,(44) 98123-2977,1
545,545,(16) 97758-5565,1
546,546,(19) 99618-0779,1
547,547,(76) 99716-9387,1
548,548,(90) 99600-1406,1
549,549,(04) 97410-3397,1
550,550,(87) 99929-4340,1
551,551,(19) 98277-4625,1
552,552,(54) 97790-4711,1
553,553,(88) 97526-4482,1
554,554,(80) 98513-9517,1
555,555,(90) 98108-7257,1
556,556,(66) 99298-4642,1
557,557,(25) 98276-4384,1
558,558,(07) 97856-7117,1
559,559,(05) 98926-5405,1
560,560,(28) 97307-0422,1
561,561,(95) 98812-8742,1
562,562,(10) 97521-4702,1
563,563,(88) 99560-0609,1
565,565,(26) 99828-4983,1
566,566,(64) 99192-0258,1
567,567,(59) 98729-4016,1
568,568,(00) 99920-3204,1
568,569,(20) 98751-1973,0
570,570,(38) 98074-4937,1
571,571,(12) 97720-3606,1
572,572,(28) 97054-0539,1
574,574,(97) 98006-4148,1
575,575,(40) 98853-9012,1
576,576,(80) 99475-6479,1
578,578,(80) 97920-0794,1
579,579,(90) 99334-1073,1
580,580,(86) 97929-7406,1
581,581,(99) 97452-2023,1
582,582,(64) 97712-6288,1
583,583,(89) 99951-1169,1
584,584,(47) 97009-4866,1
585,585,(29) 97885-7673,1
586,586,(57) 97598-2448,1
586,587,(18) 97879-9054,0
588,588,(97) 98898-9154,1
589,589,(52) 98668-0209,1
590,590,(67) 99231-3773,1
591,591,(71) 97420-7765,1
592,592,(94) 97661-2932,1
593,593,(07) 99599-4026,1
594,594,(30) 98467-5587,1
596,596,(90) 98602-8389,1
597,597,(90) 99300-8640,1
598,598,(03) 98654-8918,1
599,599,(39) 99638-8673,1
600,600,(02) 98632-7936,1
601,601,(37) 97674-1629,1
602,602,(00) 98826-1339,1
603,603,(91) 98205-6691,1
604,604,(02) 99916-5479,1
605,605,(89) 99440-8908,1
606,606,(49) 99869-9394,1
606,607,(98) 97658-1176,0
608,608,(84) 98424-0507,1
609,609,(93) 97825-8802,1
610,610,(81) 97562-8429,1
610,611,(66) 99784-8096,0
612,612,(41) 98948-3239,1
612,614,(43) 97976-0283,0
615,615,(16) 98011-6708,1
616,616,(03) 97049-3791,1
618,618,(94) 99231-0059,1
619,619,(30) 97283-1656,1
620,620,(83) 97376-7105,1
621,621,(09) 99059-3498,1
622,622,(92) 97898-0372,1
623,623,(33) 99360-2042,1
624,624,(77) 97167-4536,1
625,625,(60) 98540-6495,1
626,626,(40) 97921-8040,1
626,627,(96) 97400-7166,0
628,628,(04) 97741-1212,1
629,629,(83) 99686-8778,1
630,630,(61) 97704-7830,1
631,631,(04) 99719-2474,1
631,632,(23) 97497-9657,0
633,633,(08) 98180-7594,1
634,634,(35) 99226-4379,1
634,635,(35) 98629-7792,0
636,636,(38) 97464-5846,1
638,638,(33) 97236-8247,1
639,639,(64) 99668-2770,1
640,640,(57) 98432-4453,1
641,641,(19) 97266-4584,1
641,642,(06) 98134-0392,0
643,643,(44) 98501-1380,1
644,644,(83) 97930-3289,1
645,645,(20) 97160-5129,1
645,646,(24) 97047-1098,0
647,647,(48) 98154-8873,1
647,648,(22) 98323-1422,0
649,649,(63) 98774-5866,1
650,650,(85) 99434-2071,1
651,651,(45) 99840-2532,1
652,652,(60) 98159-9609,1
653,653,(89) 98461-2068,1
654,654,(30) 98967-0733,1
655,655,(17) 99542-4478,1
656,656,(50) 98905-0858,1
656,657,(98) 97027-6324,0
658,658,(68) 99795-1888,1
659,659,(38) 97227-3881,1
660,660,(37) 98399-0372,1
662,662,(00) 99398-9360,1
662,663,(70) 98715-7914,0
664,664,(28) 98497-8735,1
665,665,(05) 98594-9656,1
666,666,(81) 97138-7339,1
667,667,(45) 97917-5438,1
668,668,(69) 99984-3068,1
669,669,(69) 99036-7525,1
670,670,(35) 97194-1428,1
671,671,(11) 98761-6778,1
672,672,(29) 98137-4648,1
673,673,(90) 97347-2782,1
674,674,(49) 99078-0182,1
675,675,(27) 99387-9258,1
676,676,(76) 98401-6357,1
677,677,(84) 97079-4802,1
678,678,(31) 99013-3314,1
680,680,(40) 97746-1375,1
681,681,(57) 99578-1724,1
682,682,(65) 97621-0691,1
683,683,(02) 97931-0561,1
684,684,(14) 97807-7899,1
685,685,(13) 97435-7787,1
686,686,(37) 97495-4199,1
687,687,(49) 98605-8410,1
688,688,(47) 99643-6086,1
689,689,(30) 97284-2486,1
690,690,(54) 98171-1341,1
691,691,(18) 98840-8085,1
692,692,(66) 99551-6072,1
692,693,(65) 97224-1930,0
694,694,(89) 98818-4459,1
695,695,(74) 99225-5351,1
697,697,(15) 97086-0585,1
698,698,(55) 98295-9289,1
699,699,(33) 99023-8422,1
700,700,(34) 99901-8577,1
701,701,(58) 98455-2019,1
702,702,(73) 99583-3937,1
703,703,(20) 97318-8834,1
705,705,(20) 97640-6762,1
706,706,(95) 97933-9583,1
707,707,(31) 99042-1745,1
708,708,(99) 99384-3784,1
709,709,(19) 97172-5763,1
710,710,(40) 99625-5225,1
711,711,(17) 99131-6012,1
712,712,(15) 97162-4317,1
714,714,(89) 99049-9710,1
715,715,(89) 98079-4955,1
716,716,(96) 98769-6947,1
717,717,(73) 97421-9312,1
718,718,(33) 97468-9081,1
719,719,(21) 98894-8678,1
720,720,(03) 97253-0774,1
721,721,(42) 98317-5548,1
722,722,(56) 99686-1012,1
723,723,(76) 99185-2984,1
724,724,(76) 97060-8090,1
725,725,(57) 97613-5162,1
726,726,(44) 98207-4665,1
727,727,(24) 98669-0404,1
729,729,(96) 98470-9054,1
730,730,(42) 98630-8267,1
731,731,(84) 97794-0718,1
732,732,(31) 97726-3727,1
733,733,(98) 99631-0114,1
734,734,(36) 98676-3374,1
735,735,(10) 98744-0407,1
735,736,(53) 99143-7078,0
737,737,(64) 99102-1310,1
738,738,(60) 97276-6729,1
739,739,(08) 97679-0242,1
740,740,(05) 97831-7655,1
741,741,(67) 98206-5976,1
742,742,(62) 98567-4197,1
743,743,(54) 99085-5680,1
744,744,(22) 98507-2525,1
745,745,(85) 98409-5625,1
745,746,(37) 98901-6041,0
747,747,(17) 97866-3914,1
748,748,(60) 97381-3416,1
749,749,(56) 99219-3521,1
750,750,(75) 97631-5153,1
751,751,(92) 97378-5873,1
752,752,(90) 98795-4300,1
754,754,(49) 99981-8422,1
755,755,(96) 99234-3092,1
756,756,(27) 97262-0370,1
757,757,(66) 97546-4767,1
758,758,(77) 97058-3085,1
759,759,(79) 99321-4777,1
760,760,(87) 98856-4937,1
761,761,(85) 99686-8774,1
762,762,(30) 98372-7998,1
763,763,(11) 98466-6603,1
763,764,(42) 99623-4929,0
765,765,(00) 97673-7723,1
766,766,(11) 97761-5962,1
767,767,(70) 98883-1155,1
768,768,(74) 98967-3149,1
769,769,(51) 97241-6196,1
770,770,(03) 97175-4365,1
771,771,(74) 97515-4292,1
772,772,(73) 98710-8098,1
773,773,(47) 99775-8883,1
774,774,(66) 98275-4267,1
777,777,(60) 98426-3449,1
778,778,(27) 97071-3166,1
779,779,(77) 99028-9619,1
780,780,(95) 99794-5920,1
781,781,(25) 98602-1111,1
782,782,(93) 97038-2139,1
783,783,(94) 99455-7158,1
784,784,(07) 98565-8267,1
785,785,(29) 98300-7370,1
788,788,(53) 98750-4921,1
789,789,(42) 97683-1287,1
790,790,(53) 97065-7526,1
791,791,(53) 98176-6297,1
791,792,(94) 97718-2434,0
792,793,(58) 99860-1318,1
794,794,(61) 98613-2094,1
795,795,(46) 98169-1280,1
796,796,(41) 99636-7739,1
797,797,(17) 97494-8222,1
798,798,(37) 98602-1907,1
799,799,(72) 97725-3036,1
800,800,(98) 99361-0787,1
801,801,(14) 97151-8287,1
802,802,(58) 97726-1459,1
804,804,(63) 99310-4126,1
805,805,(71) 99528-9104,1
805,806,(78) 97491-2420,0
807,807,(52) 99358-3788,1
808,808,(53) 99570-0135,1
808,809,(26) 99413-2752,0
810,810,(78) 97394-1381,1
810,811,(59) 98899-7212,0
812,812,(91) 98468-4697,1
813,813,(44) 99805-3496,1
815,815,(67) 98633-4377,1
816,816,(83) 98398-6496,1
817,817,(82) 97626-3865,1
818,818,(81) 99214-1984,1
819,819,(51) 99861-3452,1
820,820,(26) 97462-2267,1
821,821,(92) 97500-6509,1
822,822,(26) 99502-7667,1
823,823,(67) 99047-0160,1
823,824,(42) 98987-2345,0
825,825,(01) 99514-3959,1
826,826,(82) 97996-3656,1
827,827,(93) 99999-2119,1
828,828,(81) 97819-0095,1
829,829,(77) 99915-0722,1
830,830,(34) 98436-6095,1
832,832,(46) 98894-6794,1
833,833,(37) 97222-4575,1
834,834,(82) 98631-1834,1
835,835,(11) 98871-3282,1
836,836,(13) 98401-9306,1
838,838,(42) 99512-7795,1
839,839,(99) 98598-1811,1
840,840,(23) 98842-9565,1
841,841,(96) 98209-9917,1
842,842,(55) 99719-9272,1
843,843,(65) 97777-9159,1
844,844,(61) 97903-7237,1
845,845,(90) 99171-5252,1
845,846,(39) 99996-7698,0
847,847,(18) 99362-3901,1
848,848,(64) 98745-5300,1
849,849,(59) 97918-4183,1
850,850,(21) 98475-0478,1
850,852,(26) 98901-6523,0
853,853,(92) 97311-0016,1
854,854,(41) 98856-7423,1
855,855,(06) 98452-1099,1
856,856,(45) 99605-3543,1
857,857,(59) 99122-3050,1
858,858,(32) 99336-4822,1
859,859,(78) 99818-7475,1
859,861,(38) 97203-4753,0
863,863,(08) 98901-8178,1
864,864,(33) 99675-0324,1
865,865,(63) 99557-4501,1
865,866,(53) 97851-4942,0
867,867,(62) 98566-8281,1
868,868,(67) 97435-6996,1
869,869,(25) 99700-8985,1
870,870,(58) 98166-0733,1
871,871,(96) 97214-9026,1
872,872,(72) 97390-3293,1
873,873,(57) 99196-0574,1
873,874,(73) 98506-2302,0
875,875,(33) 99055-7327,1
876,876,(79) 99023-7634,1
877,877,(17) 98799-5562,1
878,878,(16) 99948-7873,1
879,879,(95) 99871-8751,1
880,880,(32) 97477-4676,1
881,881,(90) 97919-9538,1
882,882,(87) 98507-9135,1
883,883,(67) 98895-3165,1
884,884,(64) 98257-3035,1
885,885,(41) 99552-8532,1
886,886,(44) 98870-3701,1
887,887,(93) 98654-2579,1
888,888,(84) 97374-4479,1
889,889,(73) 97224-7292,1
890,890,(64) 98661-9638,1
891,891,(43) 99144-3138,1
892,892,(55) 97408-6901,1
893,893,(06) 98252-8511,1
895,895,(50) 98711-0888,1
896,896,(56) 98775-5542,1
897,897,(26) 98423-0219,1
897,900,(29) 98267-1763,0
901,901,(20) 99204-1782,1
902,902,(01) 99709-3280,1
903,903,(64) 99745-2265,1
904,904,(47) 97444-1657,1
905,905,(88) 98936-6175,1
906,906,(44) 97633-6272,1
907,907,(86) 98860-6206,1
908,908,(23) 98431-1126,1
909,909,(26) 99133-5172,1
910,910,(43) 99337-2623,1
911,911,(43) 97293-7480,1
912,912,(22) 99701-5154,1
913,913,(53) 98416-9368,1
914,914,(34) 97633-3946,1
915,915,(50) 98523-1417,1
916,916,(49) 98617-7495,1
917,917,(13) 99222-5915,1
918,918,(51) 98716-1917,1
919,919,(33) 98358-3249,1
920,920,(77) 99663-1146,1
921,921,(44) 97437-9864,1
922,922,(56) 97439-0391,1
922,923,(10) 97922-0786,0
924,924,(12) 98487-8081,1
925,925,(13) 97198-4974,1
926,926,(24) 98787-9572,1
927,927,(74) 99469-7653,1
928,928,(61) 97188-7539,1
929,929,(49) 97674-6741,1
930,930,(56) 98449-8092,1
931,931,(82) 97955-4559,1
932,932,(12) 98716-3363,1
933,933,(86) 99955-6092,1
934,934,(65) 97782-0784,1
935,935,(86) 99042-1380,1
936,936,(02) 99444-8703,1
937,937,(85) 97912-3723,1
938,938,(66) 99150-7699,1
939,939,(73) 98724-7028,1
943,943,(43) 97596-5950,1
944,944,(03) 99405-4437,1
945,945,(27) 99021-1858,1
946,946,(24) 99935-5949,1
947,947,(88) 99373-9997,1
948,948,(62) 99645-7039,1
950,950,(12) 97618-4674,1
951,951,(49) 97378-0339,1
