ID_CLI,ID_END,END,CIDADE,UF,CD_MUN_IBGE
72,72,"Angela   Lane, 2767",Coração de Jesus,MG,3118809
73,73,"Canal  Alley, 9162",Palmeirais,PI,2207504
74,74,"Fairbairn  Drive, 5858",Imbuia,SC,4207403
75,75,"Cecilia  Road, 4459",Elísio Medrado,BA,2910305
76,76,"Blackheath   Alley, 1405",Rosário do Ivaí,PR,4122651
77,77,"Fawn Walk, 60",Itapetinga,BA,2916401
78,78,"Betton  Vale, 826",Alcobaça,BA,2900801
79,79,"Elgood   Vale, 1253",Rodrigues Alves,AC,1200427
80,80,"Pine Pass, 4564",Mairi,BA,2920106
81,81,"Shepherds  Boulevard, 1734",Travesseiro,RS,4321626
82,82,"Waite  Hill, 6212",Santa Helena de Minas,MG,3157658
83,83,"Sundown Walk, 7230",Serra do Ramalho,BA,2930154
84,84,"Callcott   Street, 6343",Araripina,PE,2601102
85,85,"Spruce Drive, 3164",Itatiaiuçu,MG,3133709
86,86,"Blue Anchor  Rue, 9522",São Luiz,RR,1400605
87,87,"Bliss  Road, 5176",Lajedo do Tabocal,BA,2919058
88,88,"Chester  Boulevard, 3407",Belo Vale,MG,3106408
89,89,"Railroad Tunnel, 6680",Moraújo,CE,2308807
90,90,"Linda   Crossroad, 6186",Quinze de Novembro,RS,4315354
91,91,"Westbourne Hill, 5591",Ubarana,SP,3555356
92,92,"Duthie   Crossroad, 5229",Barra de São Francisco,ES,3200904
93,93,"Bazely   Street, 8820",São José do Egito,PE,2613602
94,94,"Black Swan  Boulevard, 4670",Santa Maria do Herval,RS,4316956
95,95,"Caldwell   Hill, 9264",Mara Rosa,GO,5212808
96,96,"Blore  Street, 8184",Araras,SP,3503307
97,97,"Birkin   Tunnel, 6824",Rodeio,SC,4215109
98,98,"Coalecroft  Pass, 8383",São José dos Basílios,MA,2111250
100,100,"Chestnut Rise Route, 2959",Itutinga,MG,3134509
101,101,"Capeners  Drive, 4210",Itapecerica,MG,3133501
102,102,"Bales  Grove, 9307",Divinésia,MG,3121902
103,103,"Clyde Alley, 7055",São Bonifácio,SC,4215901
104,104,"St. Johs  Drive, 6792",Catuípe,RS,4305009
105,105,"Timber   Street, 501",Alenquer,PA,1500404
106,106,"Boldero   Alley, 3980",Campestre,AL,2701357
107,107,"Commercial  Boulevard, 6403",Itajuípe,BA,2915502
108,108,"Chatfield  Avenue, 9457",Caetanópolis,MG,3109907
109,109,"Lake Grove, 3887",Limoeiro,PE,2608909
110,110,"Clerkenwell Walk, 6314",Benevides,PA,1501501
111,111,"Fair Crossroad, 6437",Vargem Grande Paulista,SP,3556453
112,112,"Balham   Road, 7353",Santa Maria do Tocantins,TO,1718881
113,113,"Tisbury  Avenue, 6585",São Miguel do Oeste,SC,4217204
114,114,"Blackall   Hill, 8457",Aliança,PE,2600708
115,115,"Dunton  Road, 8963",Riacho dos Machados,MG,3154507
116,116,"Walnut Way, 7234",Bocaina,PI,2201804
118,118,"Arlington  Route, 6761",Arenápolis,MT,5101308
119,119,"Eldon  Drive, 2809",Macambira,SE,2803708
120,120,"Pine Lane, 2516",Candói,PR,4104428
122,122,"Cobden  Walk, 4403",Novo Lino,AL,2705606
123,123,"Fairfield  Tunnel, 8291",Alegria,RS,4300455
124,124,"Maple Vale, 2368",Gentio do Ouro,BA,2911303
125,125,"Westcott  Tunnel, 9965",Orleans,SC,4211702
126,126,"Emily  Lane, 6358",Garibaldi,RS,4308607
127,127,"Lincoln Drive, 9817",Socorro do Piauí,PI,2210904
128,128,"Epworth  Crossroad, 3025",Prado,BA,2925501
129,129,"Bendall   Drive, 3475",Gandu,BA,2911204
130,130,"Carltoun   Alley, 7723",Sarzedo,MG,3165537
131,131,"Hickory   Avenue, 4676",Bento Gonçalves,RS,4302105
132,132,"Durnford  Avenue, 1333",Boquim,SE,2800670
133,133,"Besson  Way, 1695",Itatuba,PB,2507200
134,134,"Andsell    Lane, 6131",Jacupiranga,SP,3524600
135,135,"Spruce Grove, 6369",Boa Hora,PI,2201770
136,136,"Mariner   Grove, 4341",Serra Alta,SC,4217550
138,138,"College  Grove, 5121",São Sebastião da Bela Vista,MG,3164407
139,139,"Sheringham   Crossroad, 6974",Corguinho,MS,5003108
140,140,"Blake  Lane, 9625",Periquito,MG,3149952
141,141,"Abbotswell  Route, 1056",Bebedouro,SP,3506102
142,142,"Sherwood  Walk, 6472",Ferros,MG,3125903
143,143,"Sherwood  Route, 9248",Tarauacá,AC,1200609
144,144,"Vintners  Drive, 4268",Quixelô,CE,2311355
145,145,"Elia   Drive, 9061",Juara,MT,5105101
146,146,"Maple Pass, 6485",Aracitaba,MG,3103306
147,147,"Adderley   Alley, 8111",Paraíso das Águas,MS,5006275
148,148,"Thorndike   Avenue, 8898",Santo Afonso,MT,5107263
149,149,"Parkfields Crossroad, 4710",Novo Santo Antônio,MT,5106315
150,150,"Garfield Route, 9575",Apucarana,PR,4101408
152,152,"Comet House  Walk, 2856",Pejuçara,RS,4314308
153,153,"Zealand Hill, 7182",Cruzeta,RN,2403004
154,154,"Queensberry  Walk, 1051",Biritiba Mirim,SP,3506607
155,155,"Dyott   Boulevard, 4786",São Gonçalo do Gurguéia,PI,2209757
157,157,"Birkin   Avenue, 6422",Ourolândia,BA,2923357
158,158,"Tisbury  Rue, 1616",Aquiraz,CE,2301000
159,159,"Oxford Street, 9795",Magda,SP,3528304
160,160,"Hickory Lane Vale, 5022",Bonito,BA,2904050
162,162,"Caroline  Rue, 9645",Sete de Setembro,RS,4320578
163,163,"Empress  Route, 8646",Santa Cruz do Rio Pardo,SP,3546405
164,164,"Mariner  Route, 4588",Ipanema,MG,3131208
165,165,"Elia   Rue, 947",Barra do Rocha,BA,2903102
166,166,"Elba  Lane, 932",Coronel Murta,MG,3119500
167,167,"Maple Alley, 749",Carmolândia,TO,1703883
168,168,"Calshot   Crossroad, 9333",Igreja Nova,AL,2703205
169,169,"Gathorne   Walk, 4649",Jateí,MS,5005103
170,170,"Vincent  Lane, 5672",Tapiramutá,BA,2931301
171,171,"Blanchard  Tunnel, 2252",Nossa Senhora do Livramento,MT,5106109
173,173,"Parkfield  Alley, 169",Córrego do Ouro,GO,5205703
174,174,"Wadham  Road, 8367",Guarujá do Sul,SC,4206603
175,175,"Spruce Crossroad, 8499",Nova Olímpia,PR,4117206
176,176,"Abbots   Hill, 4827",Abaíra,BA,2900108
177,177,"Adams  Vale, 1134",Mariano Moro,RS,4312005
178,178,"Bermondsey    Vale, 2362",Santa Isabel do Ivaí,PR,4123709
179,179,"Under  Walk, 1328",Ibema,PR,4109757
180,180,"Durweston   Lane, 8361",Novo Gama,GO,5215231
181,181,"Angela   Drive, 9895",Berilo,MG,3106507
182,182,"Blean   Boulevard, 7630",São Bentinho,PB,2513927
183,183,"Andsell    Drive, 5954",Roque Gonzales,RS,4316303
185,185,"Cobden  Rue, 3518",Nova Porteirinha,MG,3145059
186,186,"Carlton  Walk, 3572",Milton Brandão,PI,2206357
187,187,"Bendall   Boulevard, 9218",Pedreira,SP,3537107
188,188,"Caedmon  Vale, 9780",Nova Rosalândia,TO,1715002
189,189,"Canon Pass, 9657",Lagoa de São Francisco,PI,2205573
190,190,"Dunsley  Pass, 5047",Manga,MG,3139300
191,191,"Arundel   Crossroad, 3637",Marinópolis,SP,3529104
192,192,"Sherlock   Rue, 1820",Cruzeiro do Sul,AC,1200203
193,193,"Pine Street, 2416",Coromandel,MG,3119302
194,194,"Charterhouse  Crossroad, 4818",Porto Mauá,RS,4315057
195,195,"Jackson Tunnel, 9727",Sítio Novo,MA,2111805
196,196,"Unwin  Walk, 8509",Bandeirantes,PR,4102406
197,197,"Antrobus   Vale, 4719",Rafael Jambeiro,BA,2925956
198,198,"Blackwall  Pass, 334",Barra de São Miguel,AL,2700607
199,199,"Tisbury  Pass, 6295",Nova Olinda do Maranhão,MA,2107357
200,200,"Tiptree   Road, 188",Itaipulândia,PR,4110953
201,201,"Sheffield Pass, 337",Santa Cruz,PE,2612455
202,202,"Charterhouse  Pass, 6442",Paragominas,PA,1505502
203,203,"Virginia Route, 1107",Primavera,PE,2611408
204,204,"Duthie   Rue, 5626",Santa Helena,PB,2513307
205,205,"Bellenden   Crossroad, 542",Ribeirão Preto,SP,3543402
206,206,"Cephas  Pass, 8304",Mar Vermelho,AL,2704906
207,207,"Cardinal Grove, 2303",Santo Inácio,PR,4124509
208,208,"Catherine  Crossroad, 8612",Tomé-Açu,PA,1508001
210,210,"Cave   Route, 3991",Lobato,PR,4113601
211,211,"Westcott  Way, 7921",Itapiranga,AM,1302009
212,212,"Gautrey  Way, 2914",São Miguel,RN,2412500
213,213,"Clissold  Grove, 9469",Camocim,CE,2302602
214,214,"Maple Rue, 7832",Goianira,GO,5208806
215,215,"Hickory Lane Rue, 6422",Caçu,GO,5204300
216,216,"Bacon  Vale, 378",Teresópolis,RJ,3305802
217,217,"Anns  Way, 3672",Autazes,AM,1300300
218,218,"Bigland  Rue, 4880",São José da Boa Vista,PR,4125407
219,219,"Balfour    Route, 111",Guarapuava,PR,4109401
220,220,"Kilner   Avenue, 2648",Uniflor,PR,4128302
221,221,"Becher  Alley, 296",Ubajara,CE,2313609
222,222,"Queen Crossroad, 3603",Mendes,RJ,3302809
223,223,"Archery  Street, 9321",Espigão D'Oeste,RO,1100098
224,224,"Chapel  Boulevard, 8496",Sabinópolis,MG,3156809
225,225,"Enford   Grove, 670",Pinhão,SE,2805208
226,226,"St. Pauls  Grove, 1684",Fortaleza dos Valos,RS,4308458
227,227,"Collins  Route, 7079",São Valério do Sul,RS,4319737
228,228,"Glenwood Lane, 6018",Itaju,SP,3522000
229,229,"Rosewood Grove, 8743",Bela Vista de Minas,MG,3106002
230,230,"Caslon   Tunnel, 7532",Cocos,BA,2908101
231,231,"Apsley    Vale, 2572",Itaguaru,GO,5210604
232,232,"Kimberley  Hill, 457",Miraí,MG,3142205
233,233,"Argyle  Walk, 4551",Araripina,PE,2601102
234,234,"Battis   Walk, 6592",Santa Rita de Cássia,BA,2928406
235,235,"Sheraton   Walk, 5942",Doutor Pedrinho,SC,4205159
236,236,"Cardinal Rue, 5774",Estrela,RS,4307807
237,237,"Betton  Hill, 382",Alagoinha,PE,2600609
238,238,"Antrobus   Street, 8362",Amparo,SP,3501905
239,239,"Beaumont  Rue, 2878",Campanha,MG,3110905
240,240,"Catherine  Way, 6608",Turvolândia,MG,3169802
242,242,"Badric  Street, 7090",Ariranha,SP,3503703
243,243,"Bletchley   Crossroad, 3546",Mucugê,BA,2921906
244,244,"Bury  Way, 6742",São Pedro do Iguaçu,PR,4125753
245,245,"Ellerman   Tunnel, 9331",Guarujá do Sul,SC,4206603
246,246,"Lake Rue, 1397",Córrego Novo,MG,3120003
247,247,"Kinglake  Rue, 8962",São Sebastião do Passé,BA,2929503
248,248,"Sundown Grove, 7160",Mateus Leme,MG,3140704
250,250,"Empress  Street, 5458",Itajuípe,BA,2915502
252,252,"Baylis  Vale, 7591",São Bento do Norte,RN,2411601
253,253,"Queensberry  Route, 7697",Amarante do Maranhão,MA,2100600
254,254,"Blackheath   Tunnel, 2170",Guaraçaí,SP,3517802
255,255,"Chatfield  Pass, 1208",Cedro de São João,SE,2801603
256,256,"Boldero   Alley, 401",Itapemirim,ES,3202801
257,257,"Thoresby   Lane, 3124",Raul Soares,MG,3154002
258,258,"Duthie   Hill, 5032",Lago dos Rodrigues,MA,2105948
259,259,"Viscount   Walk, 654",Santarém,PA,1506807
260,260,"Bacon  Vale, 1362",Guaraciama,MG,3128253
261,261,"Thrale   Road, 2618",Augusto Pestana,RS,4301503
262,262,"Balfe   Grove, 3118",Felixlândia,MG,3125705
263,263,"Balham   Way, 3270",Aliança,PE,2600708
265,265,"Ben   Drive, 2005",São Marcos,RS,4319000
266,266,"Dyott   Drive, 9480",Carmópolis de Minas,MG,3114501
267,267,"St. Jamess  Boulevard, 4316",Amarante do Maranhão,MA,2100600
268,268,"Bendall   Pass, 2123",Brejetuba,ES,3201159
270,270,"Bazely   Alley, 3099",Pires do Rio,GO,5217401
271,271,"Thoresby   Lane, 1814",Palmácia,CE,2310100
272,272,"Castile  Grove, 7993",Ijuí,RS,4310207
273,273,"Beaumont  Rue, 1011",Francisco Dantas,RN,2403905
274,274,"Ashley Lane, 9368",Siriri,SE,2807204
275,275,"Caldwell   Rue, 291",Dois Riachos,AL,2702504
276,276,"Betton  Crossroad, 8256",Nova Esperança do Piriá,PA,1504950
278,278,"Lincoln Grove, 7925",Feijó,AC,1200302
279,279,"Bennett  Street, 724",Santa Cecília do Sul,RS,4316733
280,280,"Cliff  Drive, 2101",Monte Santo do Tocantins,TO,1713700
282,282,"Fairholt   Walk, 9430",Campo Verde,MT,5102678
283,283,"Linda   Road, 4538",Cruz Alta,RS,4306106
284,284,"Clere  Walk, 8270",Nhamundá,AM,1303007
285,285,"Bliss  Rue, 9729",Mara Rosa,GO,5212808
286,286,"Castile  Walk, 513",Alpestre,RS,4300505
287,287,"Cavendish Avenue, 3490",Uauá,BA,2932002
288,288,"Callcott   Rue, 1182",Bias Fortes,MG,3106804
289,289,"Maple Boulevard, 4",São José de Ubá,RJ,3305133
290,290,"Arbutus   Lane, 9468",Extremoz,RN,2403608
291,291,"Enderby   Street, 6827",Piquerobi,SP,3538303
292,292,"Emily  Lane, 5372",São José do Campestre,RN,2412302
293,293,"College  Hill, 7018",Pedra Bonita,MG,3148756
295,295,"Parkfield  Crossroad, 3307",Nova Veneza,SC,4211603
296,296,"Bliss  Street, 489",São Vicente Ferrer,MA,2111706
297,297,"Bekesbourne   Avenue, 8866",Santa Tereza do Oeste,PR,4124020
298,298,"Waldram Park  Alley, 5622",Lago do Junco,MA,2105807
299,299,"Marischal  Crossroad, 3372",Indiaroba,SE,2802809
300,300,"Tilloch   Pass, 6929",Paraná,RN,2408607
301,301,"Epworth  Way, 4987",Francisco Dumont,MG,3126604
302,302,"West Grove, 4865",Vitória Brasil,SP,3556958
303,303,"Apostle  Vale, 6845",Altair,SP,3500907
304,304,"Becher  Grove, 6818",Santa Rosa,RS,4317202
306,306,"Linden Pass, 3857",Guarapari,ES,3202405
307,307,"Ashley Road, 701",Guararema,SP,3518305
308,308,"Eaglet  Pass, 5851",Ipirá,BA,2914000
309,309,"Virgil   Rue, 9667",Três Barras,SC,4218301
310,310,"Aspen Rue, 563",Floresta Azul,BA,2911006
311,311,"Collins  Lane, 4772",Aripuanã,MT,5101407
313,313,"West Drive, 28",Nova Candelária,RS,4313011
314,314,"Camberwell  Rue, 4282",Vargem Alegre,MG,3170578
315,315,"Durnford  Alley, 1082",Alto Alegre,SP,3501103
316,316,"Edwin   Rue, 6698",Itaúna do Sul,PR,4111308
317,317,"Arlington  Way, 8715",Boracéia,SP,3507308
318,318,"Black Swan  Pass, 2614",Santa Maria do Tocantins,TO,1718881
319,319,"Yorkshire  Alley, 479",Araputanga,MT,5101258
320,320,"Collins  Avenue, 4246",Novo Airão,AM,1303205
323,323,"Buttonwood Avenue, 208",Lajedão,BA,2918902
324,324,"Lexington Alley, 4419",Santo Antônio da Platina,PR,4124103
325,325,"Bective  Avenue, 8502",Araxá,MG,3104007
326,326,"King Edward  Vale, 5045",Ibitinga,SP,3519600
327,327,"Coalecroft  Route, 1441",Canguaretama,RN,2402204
328,328,"Collins  Crossroad, 4428",Pacujá,CE,2309904
329,329,"Bennett  Street, 1182",Boqueirão do Piauí,PI,2201945
330,330,"Black Friars   Way, 1413",Marliéria,MG,3140308
332,332,"Dunstans  Hill, 258",Rochedo de Minas,MG,3156205
333,333,"Rosewood Route, 8940",Planaltina,GO,5217609
334,334,"Queen Way, 6588",Serra Alta,SC,4217550
335,335,"King Pass, 3573",Juazeiro do Norte,CE,2307304
336,336,"Chancellor  Alley, 7624",Amaturá,AM,1300060
337,337,"Biggerstaff   Rue, 116",Barra de São Miguel,AL,2700607
338,338,"Cecilia  Drive, 1277",Sangão,SC,4215455
339,339,"Carnegie   Grove, 1433",Jussiape,BA,2918605
340,340,"Thomas  Alley, 3355",Conceição do Coité,BA,2908408
341,341,"Hickory Lane Rue, 1114",Sítio d'Abadia,GO,5220702
342,342,"Fair Rue, 9728",Bom Jesus,PB,2502201
343,343,"Chesterfield  Walk, 1511",Santa Amélia,PR,4123105
344,344,"Abbey   Vale, 238",Progresso,RS,4315156
345,345,"Thorndike   Vale, 8845",Jambeiro,SP,3524907
347,347,"Hickory Lane Street, 2775",Tupirama,TO,1721257
348,348,"Carltoun   Boulevard, 2788",Caranaíba,MG,3113107
349,349,"Howard Grove, 1922",Santa Lúcia,SP,3546900
350,350,"Thorndike   Street, 5342",Curuá,PA,1502855
351,351,"Empress  Walk, 5478",Tupãssi,PR,4127957
352,352,"Elba  Route, 5363",Conselheiro Pena,MG,3118403
353,353,"Kimberley  Vale, 4536",Juscimeira,MT,5105200
354,354,"Jackson Grove, 9779",Igarapé do Meio,MA,2105153
355,355,"Cliffords  Avenue, 8338",Nova Brasilândia D'Oeste,RO,1100148
356,356,"Blenkarne  Grove, 8834",Bom Jardim,MA,2102002
357,357,"Western   Alley, 875",Salgado de São Félix,PB,2513109
358,358,"Bective  Walk, 9589",João Dourado,BA,2918357
359,359,"Magnolia Lane, 9597",Gramado,RS,4309100
360,360,"Camdenhurst   Route, 4768",Guamaré,RN,2404507
361,361,"Norland  Alley, 2521",Aurora,CE,2301703
362,362,"Chestnut  Route, 2099",Nova Módica,MG,3144904
363,363,"Cliffords  Hill, 1849",Córrego Danta,MG,3119807
364,364,"Rail Way, 7474",Indiaporã,SP,3520707
365,365,"Chester  Pass, 2094",Paranhos,MS,5006358
366,366,"Ely  Pass, 8177",Caldas Brandão,PB,2503803
367,367,"Berry  Alley, 3254",Extremoz,RN,2403608
368,368,"Carpenter Grove, 250",Itaituba,PA,1503606
369,369,"Longleigh   Way, 592",Lagarto,SE,2803500
370,370,"Cheltenham  Crossroad, 7009",Tangará,SC,4217907
371,371,"Cadogan  Tunnel, 5603",Alcântara,MA,2100204
372,372,"Baltic  Grove, 8645",Rancho Queimado,SC,4214300
373,373,"Tilloch   Tunnel, 2616",São Caetano do Sul,SP,3548807
374,374,"West Vale, 9050",Jequiá da Praia,AL,2703759
375,375,"Bethwin  Street, 4014",Ribeira do Amparo,BA,2926509
376,376,"East Rue, 9892",Áurea,RS,4301552
377,377,"Blore  Pass, 4207",Monte Alegre dos Campos,RS,4312377
378,378,"Westcott  Street, 4793",Alpinópolis,MG,3101904
379,379,"Geffrye   Hill, 6850",Jundiá,AL,2703908
380,380,"Abbotswell  Street, 2405",Nova Prata,RS,4313300
381,381,"Chester  Drive, 8621",Palmeirina,PE,2610103
382,382,"Canon Crossroad, 2690",Campina das Missões,RS,4303707
383,383,"Belmore  Street, 3369",Nicolau Vergueiro,RS,4312674
384,384,"Wadham  Crossroad, 5801",Silveiras,SP,3552007
385,385,"Ensign   Road, 881",Paripiranga,BA,2923803
386,386,"Railroad Road, 3464",Cotiporã,RS,4305959
387,387,"Chamberlain  Alley, 9252",Capitão Andrade,MG,3112653
388,388,"Biggerstaff   Way, 2059",Delfinópolis,MG,3121209
389,389,"Aberavon  Rue, 3301",São José do Inhacorá,RS,4318499
390,390,"Lincoln Rue, 1090",Itaituba,PA,1503606
391,391,"Gatonby   Road, 6176",Divisa Nova,MG,3122405
392,392,"Apothecary   Route, 5574",Colíder,MT,5103205
393,393,"Falconberg   Drive, 1998",Iracemápolis,SP,3521408
394,394,"Longmoore   Grove, 7790",Pavão,MG,3148509
395,395,"Erindale Rue, 7701",Crixás do Tocantins,TO,1706258
396,396,"Hickory   Vale, 4828",Heitoraí,GO,5209606
397,397,"Abbey   Walk, 1501",São Carlos,SC,4216008
398,398,"Castile  Route, 8783",Porto Estrela,MT,5106851
399,399,"Durham Avenue, 372",Ivaiporã,PR,4111506
400,400,"Calverley  Route, 2531",Loanda,PR,4113502
401,401,"Yorkshire  Road, 1241",Igrejinha,RS,4310108
402,402,"Chicksand  Walk, 6979",Abadia dos Dourados,MG,3100104
403,403,"Chantry   Rue, 9536",Acreúna,GO,5200134
404,404,"Arline    Lane, 1601",Delmiro Gouveia,AL,2702405
405,405,"Thurloe   Drive, 5818",Carnaubal,CE,2303402
406,406,"Cadogan  Route, 9020",Campos Novos Paulista,SP,3509809
407,407,"Calshot   Way, 2916",Boa Esperança,PR,4103008
408,408,"Apsley    Street, 6154",Tartarugalzinho,AP,1600709
409,409,"Chart   Street, 9741",Parnamirim,RN,2403251
410,410,"Belfort  Grove, 6574",Quilombo,SC,4214201
411,411,"Hickory   Hill, 5344",Turilândia,MA,2112456
412,412,"Hammersmith  Road, 6586",Tanabi,SP,3553401
414,414,"Ampton  Street, 4086",Boa Esperança,MG,3107109
415,415,"Berriman  Drive, 8985",Chapadão do Lageado,SC,4204194
416,416,"Andsell    Grove, 794",Touros,RN,2414407
417,417,"York Walk, 9319",Mucambo,CE,2309003
419,419,"Westcott  Tunnel, 4341",São José do Barreiro,SP,3549607
420,420,"Longman   Grove, 6775",São João do Oriente,MG,3162609
421,421,"Apostle  Street, 4839",Catarina,CE,2303600
422,422,"Blue Anchor  Hill, 415",São Domingos do Araguaia,PA,1507151
423,423,"Parkfield  Pass, 6330",Maringá,PR,4115200
424,424,"Geffrye   Boulevard, 1399",Peruíbe,SP,3537602
425,425,"Abbots   Tunnel, 9130",Bela Vista de Minas,MG,3106002
427,427,"Cecilia  Grove, 7702",Alagoinha,PB,2500502
428,428,"Victoria Rise Boulevard, 9314",Franca,SP,3516200
429,429,"Battis   Drive, 3006",Indianópolis,MG,3130705
430,430,"Clifton  Tunnel, 367",Parnaguá,PI,2207603
431,431,"Collingwood  Route, 9137",Eunápolis,BA,2910727
432,432,"Cheltenham  Street, 5698",São Vicente de Minas,MG,3165305
433,433,"Bermondsey    Boulevard, 9687",Caiçara,PB,2503605
434,434,"Collent   Rue, 8353",Assis Brasil,AC,1200054
435,435,"Bel   Alley, 7257",Jauru,MT,5105002
436,436,"Birkbeck  Crossroad, 1377",Pedreira,SP,3537107
438,438,"Gathorne   Road, 7356",Marau,RS,4311809
439,439,"Beaconsfield  Hill, 1854",Pongaí,SP,3540101
440,440,"Cephas  Vale, 9891",Cosmópolis,SP,3512803
441,441,"Calverley  Walk, 9765",Jequitaí,MG,3135605
442,442,"Waldram Park  Vale, 949",Ataléia,MG,3104700
443,443,"Chestnut Rise Walk, 9473",Alagoinha,PB,2500502
444,444,"English   Way, 3051",Nova Olinda do Norte,AM,1303106
445,445,"Calvin   Drive, 2629",Fronteira dos Vales,MG,3127057
446,446,"Yorkshire  Way, 6244",Douradina,MS,5003504
448,448,"Unwin  Pass, 6969",Registro,SP,3542602
449,449,"Camera  Walk, 5599",General Sampaio,CE,2304608
450,450,"Thomas  Avenue, 2600",Fronteira dos Vales,MG,3127057
451,451,"Lake Tunnel, 6956",São Sebastião do Anta,MG,3164472
452,452,"Lake Tunnel, 4968",Estrela d'Oeste,SP,3515202
453,453,"Hamilton  Rue, 4414",Anapurus,MA,2100808
454,454,"Addison  Alley, 1441",Bonfim,RR,1400159
455,455,"Caslon   Pass, 7901",Imbaú,PR,4110078
456,456,"Monroe Avenue, 4890",Serrania,MG,3166907
457,457,"Fairholt   Rue, 1181",Paraipaba,CE,2310258
458,458,"English   Avenue, 8693",São João Nepomuceno,MG,3162906
459,459,"Elizabeth  Walk, 7681",Maravilha,AL,2704609
460,460,"Cheltenham  Pass, 5603",São Bento Abade,MG,3160801
461,461,"Woodland Road, 714",Poxoréu,MT,5107008
463,463,"King Rue, 4926",Piraí do Norte,BA,2924678
464,464,"Cavaye  Rue, 692",Bragança,PA,1501709
465,465,"Cato   Lane, 6121",Juazeiro do Piauí,PI,2205516
